seed,arm,availability,downtime_tower_min,episodes,activated,pre_empted,masked,unresolved,false_dispatches,crew_hours,repairs,mttr_min,cost_tower_min
1,A,98.794,52085,1219,1165,0,54,21,0,736.2,483,91.0,104850.0
1,B,98.794,52110,1219,1165,0,54,21,2,738.8,483,91.0,104920.0
1,C,98.94,45790,1219,695,472,52,21,3,740.7,483,91.0,83895.0
1,D,99.011,42720,1219,657,514,48,20,0,772.2,486,98.2,82260.0
2,A,98.773,52995,1232,1156,0,76,30,0,762.5,486,93.8,104040.0
2,B,98.773,52985,1232,1156,0,76,30,2,764.8,486,93.8,104110.0
2,C,98.889,48010,1232,734,434,64,30,1,776.2,494,93.8,85625.0
2,D,98.973,44375,1232,696,473,63,30,0,808.1,495,101.1,83925.0
3,A,98.783,52560,1193,1125,0,68,19,0,741.1,466,94.9,101250.0
3,B,98.782,52610,1193,1125,0,68,19,10,753.2,466,95.0,101600.0
3,C,98.912,47010,1193,686,451,56,18,5,752.9,470,94.9,82210.0
3,D,98.991,43595,1193,656,484,53,16,0,781.2,473,102.5,80820.0
4,A,98.751,53975,1216,1142,0,74,22,0,777.2,501,93.1,102780.0
4,B,98.751,53975,1216,1142,0,74,22,4,781.8,501,93.1,102920.0
4,C,98.882,48305,1216,708,441,67,23,4,785.2,503,93.0,83705.0
4,D,98.967,44620,1216,668,485,63,22,0,814.1,504,100.5,81945.0
5,A,98.702,56080,1239,1178,0,61,21,0,802.4,514,93.5,106020.0
5,B,98.702,56080,1239,1178,0,61,21,8,811.4,514,93.5,106300.0
5,C,98.837,50250,1239,733,449,57,21,6,812.0,515,93.7,86385.0
5,D,98.92,46635,1239,699,485,55,20,0,837.1,516,100.9,84735.0
6,A,98.812,51315,1131,1078,0,53,27,0,753.2,489,92.1,97020.0
6,B,98.811,51385,1131,1078,0,53,27,5,760.4,489,92.2,97195.0
6,C,98.931,46180,1131,675,411,45,26,4,764.6,492,92.3,79385.0
6,D,99.01,42775,1131,639,450,42,26,0,794.0,493,99.8,77760.0
7,A,98.687,56735,1281,1219,0,62,25,0,818.1,534,91.8,109710.0
7,B,98.687,56735,1281,1219,0,62,25,3,822.3,534,91.9,109815.0
7,C,98.826,50705,1281,760,465,56,24,3,823.9,535,91.9,89430.0
7,D,98.911,47035,1281,719,511,51,24,0,855.2,537,99.0,87705.0
8,A,98.72,55295,1257,1197,0,60,25,0,791.9,517,91.8,107730.0
8,B,98.719,55320,1257,1197,0,60,25,7,800.2,517,91.9,107975.0
8,C,98.864,49085,1257,727,474,56,23,7,799.0,517,91.7,87005.0
8,D,98.942,45685,1257,697,508,52,21,0,827.2,518,99.4,85590.0
9,A,98.754,53845,1200,1156,0,44,19,0,770.8,508,90.9,104040.0
9,B,98.749,54035,1200,1156,0,44,19,5,780.6,509,91.2,104215.0
